"ASV_id","warmed_fungi_gradient","warmed_fungi","cooled_fungi_gradient","cooled_fungi","High Control","Low Control","Mid Control","Genus","Family","Class","Order","Phylum"
547,-0.0564287398669985,0.311224377437257,0.297232950233423,0.544772444767521,4.08,NA,2.7,"Slooffia","Chrysozymaceae","Microbotryomycetes","Microbotryomycetes_ord_Incertae_sedis","Basidiomycota"
76,-0.178378949872383,-0.00241302460393597,0.297214126446959,0.354463829874981,4.05,3.33,2.56,"Alatospora","Leotiaceae","Leotiomycetes","Helotiales","Ascomycota"
458,-0.272631819895596,-0.389253481041219,0.296522142001545,0.190526559462318,4.48,NA,6.3,"Archaeorhizomyces","Archaeorhizomycetaceae","Archaeorhizomycetes","Archaeorhizomycetales","Ascomycota"
210,-0.28625937773881,-0.302279492369333,0.295338495991147,0.375167161787429,5.87,5.28,4.36,"Leohumicola","Helotiales_fam_Incertae_sedis","Leotiomycetes","Helotiales","Ascomycota"
110,-0.136575033956536,0.0890889492304106,0.294611496390332,0.209539822623399,3.95,NA,4.43,NA,NA,NA,NA,NA
315,-0.0862456949697,0.280143130722426,0.292888224954946,0.282319639893626,3.19,2.96,2.78,NA,NA,"Eurotiomycetes","Chaetothyriales","Ascomycota"
195,-0.134350172039187,-0.0429497929271354,0.292221592597114,0.220872890170889,3.15,4.62,3.84,"Lachnum","Hyaloscyphaceae","Leotiomycetes","Helotiales","Ascomycota"
613,-0.408110721820595,-0.263956538932701,0.284327776837531,0.280369492866432,4.9,NA,NA,"Clavulinopsis","Clavariaceae","Agaricomycetes","Agaricales","Basidiomycota"
468,-0.261335293973148,-0.22973011940572,0.283771070839342,0.208898987823472,7.07,NA,8.19,"Archaeorhizomyces","Archaeorhizomycetaceae","Archaeorhizomycetes","Archaeorhizomycetales","Ascomycota"
575,-0.308973174501794,-0.180386617467155,0.281664907265377,0.394540700438003,3.44,NA,NA,"Clavulinopsis","Clavariaceae","Agaricomycetes","Agaricales","Basidiomycota"
228,-0.177313227478004,0.00613545772030199,0.279459830392306,0.531854111074133,2.17,NA,2.32,"Cryptosporiopsis","Dermateaceae","Leotiomycetes","Helotiales","Ascomycota"
494,-0.27343966807738,-0.188899000185994,0.271898413203848,0.357153513766579,4.82,3.65,4.14,"Dominikia","Glomeraceae","Glomeromycetes","Glomerales","Glomeromycota"
526,-0.264630418855227,-0.195979790609291,0.270507011963873,0.372317401050078,2.69,4.75,3.07,NA,NA,"Leotiomycetes",NA,"Ascomycota"
385,-0.0287786014940091,0.273675425786608,0.269650099257861,0.40715525127512,5.69,2.89,3.41,"Fusarium","Nectriaceae","Sordariomycetes","Hypocreales","Ascomycota"
85,-0.324359079160677,-0.256550859518812,0.267412100572374,0.373153873505048,3.65,NA,NA,"Phaeosphaeria","Phaeosphaeriaceae","Dothideomycetes","Pleosporales","Ascomycota"
274,-0.320104426183022,-0.313339823200922,0.266796423771027,0.131332709856416,3.11,2.2,2.24,"Barnettozyma","Phaffomycetaceae","Saccharomycetes","Saccharomycetales","Ascomycota"
219,-0.239601890692305,-0.0692715285001773,0.265612921423419,0.10831476069019,2.88,2.3,1.95,NA,NA,"Leotiomycetes","Helotiales","Ascomycota"
133,-0.367585610703374,-0.314498040384784,0.262172560962004,0.205733382926729,2.79,3.15,3.43,"Naganishia","Filobasidiaceae","Tremellomycetes","Filobasidiales","Basidiomycota"
221,-0.298501558370875,-0.193528980925392,0.259835409651489,0.356262290949565,3.04,NA,2.59,"Hymenoscyphus","Helotiaceae","Leotiomycetes","Helotiales","Ascomycota"
520,-0.0836132738778074,0.142814505326169,0.259141113505396,0.589893088542266,2.2,0.69,2.4,NA,NA,"Sordariomycetes",NA,"Ascomycota"
531,-0.289428996808076,-0.0813907387095315,0.257086738197715,0.411662896551481,3.82,NA,4.54,"Solicoccozyma","Piskurozymaceae","Tremellomycetes","Filobasidiales","Basidiomycota"
446,-0.202059518876029,-0.218158989827936,0.253580073067611,0.219699782745195,5.17,3.91,5.1,"Archaeorhizomyces","Archaeorhizomycetaceae","Archaeorhizomycetes","Archaeorhizomycetales","Ascomycota"
80,-0.201075621211136,-0.0857300553522851,0.252679660142482,0.243435098222655,3.25,4.22,NA,NA,NA,NA,NA,"Ascomycota"
409,-0.140854683954475,0.0467157422373799,0.252222261618407,0.155133953770215,1.9,NA,3.2,NA,NA,"Dothideomycetes","Pleosporales","Ascomycota"
445,-0.323900167598935,-0.170378196838105,0.251644449365818,-0.0017919971299854,4.6,NA,4.02,"Hygrocybe","Hygrophoraceae","Agaricomycetes","Agaricales","Basidiomycota"
533,-0.0782546842861539,0.171160242086487,0.248781234941677,0.38200851555913,4.23,3.98,4.5,"Solicoccozyma","Piskurozymaceae","Tremellomycetes","Filobasidiales","Basidiomycota"
378,-0.214547204258501,-0.101962836721771,0.24561775566656,0.146298171558907,2.5,2.08,2.69,"Monocillium","Hypocreaceae","Sordariomycetes","Hypocreales","Ascomycota"
325,-0.203426735237489,-0.182586531912875,0.245288822209425,0.272155837052251,4.95,NA,2.32,NA,"Herpotrichiellaceae","Eurotiomycetes","Chaetothyriales","Ascomycota"
239,-0.223193176755664,-0.0821025241154384,0.245094759620649,0.274759163280561,3.64,NA,NA,"Schizothecium","Lasiosphaeriaceae","Sordariomycetes","Sordariales","Ascomycota"
658,-0.121144205258639,0.19551017468569,0.244186622625246,0.552031974945867,3.33,2.2,3.87,"Mortierella","Mortierellaceae","Mortierellomycetes","Mortierellales","Mortierellomycota"
665,-0.162477612415057,-0.0675831169026569,0.24383024456359,0.345922089524023,5.85,5.72,4.55,"Mortierella","Mortierellaceae","Mortierellomycetes","Mortierellales","Mortierellomycota"
28,-0.0294786817737938,0.179430039128283,0.240703067173137,0.4133703812965,2.64,NA,2.64,"Ambispora","Ambisporaceae","Archaeosporomycetes","Archaeosporales","Glomeromycota"
532,-0.377690095215938,-0.234193680353931,0.239040632858242,0.0758406174119876,4.14,NA,NA,"Solicoccozyma","Piskurozymaceae","Tremellomycetes","Filobasidiales","Basidiomycota"
316,-0.130337513848327,-0.0268657265545485,0.238924127130367,0.373990778052387,2.29,2.45,2.62,"Striatibotrys","Stachybotryaceae","Sordariomycetes","Hypocreales","Ascomycota"
286,-0.241625953933942,-0.295921891153139,0.238424398694401,0.171630137354937,4.85,2.68,3.76,NA,NA,NA,NA,"Ascomycota"
328,-0.143785598330977,-0.12520840761155,0.234600004445274,0.2970419583414,5.48,5.74,4.48,NA,NA,"Eurotiomycetes","Chaetothyriales","Ascomycota"
364,-0.117958463615949,-0.0503175557466336,0.232764644500204,0.0913683245595636,3.73,4.63,NA,"Tetracladium","Helotiaceae","Leotiomycetes","Helotiales","Ascomycota"
558,-0.173608114782536,-0.205309306102925,0.232262106892853,0.0129701927372925,3.37,3.72,3.53,NA,NA,"Xylonomycetes","GS34","Ascomycota"
