"ASV_id","warmed_bacteria_gradient","warmed_bacteria","cooled_bacteria_gradient","cooled_bacteria","High Control","Low Control","Mid Control","Genus","Family","Phylum","Class","Order"
"907",-0.31,-0.33,0.38,0.07,3.7,3.33,3.5,"Puia","Chitinophagaceae","Bacteroidota","Bacteroidia","Chitinophagales"
"280",-0.31,-0.27,0.38,-0.08,3.79,NA,3.43,NA,"WD2101 soil group","Planctomycetota","Phycisphaerae","Tepidisphaerales"
"1332",-0.16,-0.05,0.38,-0.22,3.43,NA,3.27,NA,NA,"Actinobacteria","Thermoleophilia","Gaiellales"
"198",-0.14,0.04,0.38,-0.09,3.78,3.66,4.09,"Dactylosporangium","Micromonosporaceae","Actinobacteria","Actinobacteria","Micromonosporales"
"1235",-0.29,-0.05,0.37,-0.24,3.53,3,3.83,NA,NA,"Actinobacteria","Thermoleophilia","Gaiellales"
"872",0,0.17,0.37,NA,4.48,NA,4.51,"Sphingomonas","Sphingomonadaceae","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
"1201",-0.26,-0.08,0.37,-0.02,3.34,NA,3.74,"JGI 0001001-H03","Blastocatellaceae","Acidobacteria","Blastocatellia","Blastocatellales"
"11",-0.32,-0.07,0.37,-0.19,3.84,3.02,3.6,"CL500-29 marine group","Ilumatobacteraceae","Actinobacteria","Acidimicrobiia","Microtrichales"
"34",-0.25,-0.13,0.37,0.06,3.33,NA,3.78,"Pseudonocardia","Pseudonocardiaceae","Actinobacteria","Actinobacteria","Pseudonocardiales"
"97",-0.43,-0.33,0.37,-0.19,3.53,2.56,3.14,NA,"WD2101 soil group","Planctomycetota","Phycisphaerae","Tepidisphaerales"
"1637",-0.32,-0.08,0.37,-0.24,5.08,4.03,4.97,NA,NA,"Chloroflexi","KD4-96",NA
"167",-0.5,-0.41,0.37,-0.25,3.48,2.24,3.03,NA,"Gemmataceae","Planctomycetota","Planctomycetes","Gemmatales"
"408",-0.41,-0.37,0.37,-0.3,3.82,NA,3.3,NA,"Pedosphaeraceae","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales"
"246",-0.41,-0.31,0.37,-0.07,3.51,1.95,3.35,NA,NA,"Actinobacteria","MB-A2-108",NA
"1631",-0.21,0.06,0.37,0.2,4.02,NA,4.33,NA,"Planococcaceae","Firmicutes","Bacilli","Bacillales"
"430",-0.29,-0.06,0.36,-0.41,5.06,3.92,4.72,"Candidatus Udaeobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"234",-0.44,-0.36,0.36,-0.23,4.47,NA,4.33,NA,NA,"Acidobacteria","Acidobacteriae","Subgroup 2"
"1499",-0.1,0.02,0.36,NA,4.2,NA,4.01,NA,"Kineosporiaceae","Actinobacteria","Actinobacteria","Kineosporiales"
"919",-0.13,0.07,0.36,-0.19,3.66,3.76,3.7,"Segetibacter","Chitinophagaceae","Bacteroidota","Bacteroidia","Chitinophagales"
"1411",-0.57,-0.53,0.36,-0.37,4.26,NA,4.42,"GOUTA6","Nitrosomonadaceae","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"1121",-0.21,-0.05,0.36,-0.25,4.04,NA,3.33,NA,NA,"Acidobacteria","Vicinamibacteria","Vicinamibacterales"
"989",-0.44,-0.43,0.36,-0.16,3.98,NA,NA,NA,"Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"1193",-0.32,-0.28,0.36,-0.3,4.12,3.91,4.14,"JGI 0001001-H03","Blastocatellaceae","Acidobacteria","Blastocatellia","Blastocatellales"
"1137",-0.1,0.15,0.36,-0.25,3.82,3.91,4.15,NA,"Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"1649",-0.42,-0.33,0.36,-0.22,3.8,NA,3.4,NA,NA,"Acidobacteria","Blastocatellia","11-24"
"154",-0.38,-0.31,0.36,NA,3.85,NA,NA,NA,"Gemmataceae","Planctomycetota","Planctomycetes","Gemmatales"
"1523",-0.31,-0.26,0.36,NA,3.83,NA,NA,NA,"A21b","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"1079",-0.35,-0.22,0.36,-0.23,4.45,NA,4.51,NA,NA,"Acidobacteria","Vicinamibacteria","Vicinamibacterales"
"1542",-0.23,-0.05,0.35,-0.29,4.35,3.87,4.44,NA,"SC-I-84","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"349",-0.41,-0.28,0.35,-0.29,3.87,NA,3.92,NA,NA,"Proteobacteria","Gammaproteobacteria","WD260"
"909",-0.2,-0.06,0.35,-0.23,3.69,3.26,3.83,NA,"Chitinophagaceae","Bacteroidota","Bacteroidia","Chitinophagales"
"624",-0.4,-0.4,0.35,NA,3.85,NA,NA,"Rhodoplanes","Xanthobacteraceae","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"18",-0.41,-0.38,0.35,-0.13,3.66,NA,3.52,"Acidothermus","Acidothermaceae","Actinobacteria","Actinobacteria","Frankiales"
"50",-0.2,0,0.35,-0.16,2.92,2.6,3.13,NA,"WD2101 soil group","Planctomycetota","Phycisphaerae","Tepidisphaerales"
