"species","warmed_bacteria_gradient","warmed_bacteria","cooled_bacteria_gradient","cooled_bacteria"
"167",-0.495180001290347,-0.412892943529104,0.371126486818163,-0.25030606685576
"408",-0.406079948706237,-0.366019202490657,0.370863468465698,-0.296934072730819
"246",-0.409613326364305,-0.312856554778335,0.370242897140111,-0.0735675477132722
"1631",-0.212353458400408,0.0635608615980126,0.366230232477304,0.203938408165575
"430",-0.289344408042707,-0.0555836106420025,0.364847468860336,-0.41436037826304
"234",-0.438354528923849,-0.358995908257063,0.362868036208311,-0.23215825883613
"1499",-0.103309003116948,0.0224091578099154,0.360253074881615,NA
"919",-0.125597138930806,0.073111794413098,0.359714929945108,-0.191186646531649
"1411",-0.572545520977242,-0.534275608661484,0.358710383919535,-0.37488961739105
"1121",-0.209424954309473,-0.0469281067567309,0.358634455971784,-0.245761244282474
"989",-0.436839645484157,-0.432200452751199,0.35857483948579,-0.159491316631513
"1193",-0.31929195678898,-0.27681879525881,0.358393783538082,-0.303780333864242
"1137",-0.103276409804566,0.153041123421672,0.357356777043782,-0.252279638725723
"1649",-0.416223596202119,-0.334080636144385,0.356870946632612,-0.216716574570061
"154",-0.378204487716032,-0.30791976949409,0.356098726603554,NA
"1523",-0.314800566885301,-0.25892993409692,0.355217273235087,NA
"1079",-0.345923095945906,-0.222605978520857,0.355204893145225,-0.232917159575826
"1542",-0.234770214274047,-0.0514771277939102,0.353826618668719,-0.291355421036798
"349",-0.414963643113449,-0.282197194834577,0.35299946053159,-0.290477736652232
"909",-0.196289230543689,-0.0600340973213039,0.35200741195689,-0.227202128422669
"624",-0.397538870762513,-0.399056442911233,0.350233105994845,NA
"18",-0.414812456923811,-0.376956571387202,0.349959757437698,-0.132671924245497
"50",-0.204072801903628,-8.40307824541793e-05,0.34909946078302,-0.161656059244216
"123",-0.415834008496138,-0.29512771176859,0.348964017914881,-0.331011321466826
"359",-0.25853819910524,-0.0847828107413196,0.347317144183071,-0.291597931864063
"935",-0.339935874450358,-0.337766932361666,0.345989272174246,-0.376996051950655
"1091",-0.314401648619186,-0.178841746083716,0.345731021108799,-0.23895829311429
"1654",-0.223687008254904,-0.126304538575879,0.345619448415899,-0.0900712691526149
"1662",-0.280547581382387,-0.034626256716757,0.344853311718179,-0.401588984083619
"1158",-0.467765787606267,-0.36557676259854,0.343357305597131,-0.270721515366709
"464",-0.175776667634895,-0.0451971744510497,0.343294289559872,-0.166066574318535
"1087",-0.141552017261109,0.0892658033023295,0.341527501653677,-0.0757797182283106
"608",-0.282746608682365,-0.126179986436236,0.341486149702366,-0.165720720504143
"21",-0.349170804379166,-0.319396305758213,0.341295760187973,-0.142254448761878
"576",-0.264875813302846,-0.0597720092679257,0.340146210715805,-0.265451737706606
"56",-0.353383053831255,-0.258648014343792,0.338385716588684,-0.440337120473771
"1031",-0.434302142509753,-0.397445357687932,0.338198240433772,-0.383161689369412
"1480",-0.232050183553469,-0.059481323679751,0.338036199124439,-0.110393369527723
"927",-0.139249184943019,-0.0817108874989311,0.338030383573826,-0.139369293568879
"1001",-0.49532854495289,-0.438435559795749,0.337989797252106,-0.285621343706249
"647",-0.14003250198558,0.011068079075493,0.337843097333552,-0.340958812930442
"1000",-0.236558959376846,-0.00927917727569346,0.337730826155906,-0.120654062365491
"115",-0.176263854563364,-0.0481216122763411,0.337649046079021,-0.235017661705211
"1310",-0.300108799457098,-0.211320423759531,0.337557133375792,-0.0854208999565247
"1242",-0.372994411119027,-0.198291777250982,0.336949076590891,-0.419891394101071
"1013",-0.194479001376935,-0.0703782178892075,0.336828314503892,-0.142109326973889
"1536",-0.259892639328117,-0.18384271329972,0.336096678212105,-0.196259958745958
"1585",-0.255145001691348,-0.265408330876514,0.335346189280686,-0.142598927164644
"505",-0.493275268375104,-0.409269396703183,0.335243463967781,-0.289154083469944
"409",-0.407220032635876,-0.379975845326678,0.335106749471288,-0.196924803404113
"1074",-0.373073483008834,-0.359249309112601,0.334756109923249,0.0291294158658131
"990",-0.505183149849349,-0.438676952603721,0.334220861426197,-0.407743485953573
"20",-0.314432873879231,-0.216491360230511,0.334075618473232,-0.211907789214218
"563",-0.398461611301169,-0.40257178730522,0.333114769564618,0.0579738842910684
"7",-0.188078818141269,-0.0170549059610455,0.332696499687869,-0.142454179057925
"1650",-0.276623867963565,-0.16666015067404,0.332292516740591,NA
"930",-0.445927917631157,-0.328199846104821,0.332231393875108,-0.154800374525283
"1600",-0.193768115995435,0.0022183763802602,0.331728584558476,-0.128628161671369
"717",-0.163069845732366,-0.0855938866084958,0.331441936018169,-0.284310847198039
"454",-0.220686269507984,-0.183959081448371,0.331061282851342,-0.0757797182283109
"1345",-0.0749842812006711,0.179417015309423,0.330998826072843,-0.247241843842618
"749",-0.296860956223624,-0.209186022348863,0.329797638608452,NA
"461",-0.344916184246177,-0.255030449021809,0.329794873629299,0.0904116563443102
"1549",-0.238142491093406,-0.138375494756303,0.329114724818102,-0.0630405231316189
"1258",-0.21111176875237,-0.112372161965552,0.327835066214244,NA
"1163",-0.303543427497335,-0.166419501502836,0.326923035912862,-0.352068531469002
"413",-0.342755811010536,-0.24254160283856,0.326412113769431,-0.196259958745959
"1119",-0.474761140397162,-0.401799122606093,0.326343357117823,-0.320571460775855
"1641",-0.192518211839968,-0.0667803406646393,0.326038703348857,NA
"79",-0.30139737389244,-0.145334750495976,0.325342899956621,-0.0148668322882448
"584",-0.351749116404505,-0.201106522870983,0.325245808329987,-0.244984614416559
"487",-0.154102014917852,-0.0513419489537026,0.323911280368768,NA
"1598",-0.268644917065601,-0.164491587661679,0.321121627079038,NA
"1660",-0.339218508368276,-0.25865623854195,0.320766198139612,-0.244220249020816
"1101",-0.332145016151031,-0.206821354030783,0.319267084911749,-0.423991804613751
"455",-0.349130102110243,-0.196107974246117,0.317135637949703,-0.310508028888153
"1479",-0.258108188322365,-0.0426721652845062,0.316021717552056,-0.347096612227978
"715",-0.391990089120101,-0.271322595684017,0.314907519023412,-0.334997522434577
"1410",-0.279950577364287,-0.233975515234312,0.314819307734086,NA
"276",-0.411571627591071,-0.309832781662451,0.312557885129214,-0.221343267126029
"1007",-0.237105803236904,0.0410893290447635,0.311720030002716,-0.382152325836647
"251",-0.100252947288404,0.0551271710482288,0.310544664269407,NA
"301",-0.280960041756856,-0.0650335673673657,0.307148287879326,-0.237519442951373
"752",-0.162997891541095,-0.00531263023527195,0.306943868855509,-0.0627676146277939
