"ASV_id","High Control","Low Control","Mid Control"
"421",3.33,3.21,3.45
"422",6.38,6.14,6.21
"423",4.11,4.07,4.84
"424",3.44,2.89,3.37
"425",4.33,3.85,NA
"426",3.04,3.52,4.14
"427",4.98,4,4.93
"428",NA,4.08,3.68
"429",6.4,5.96,6.3
"430",5.06,3.92,4.72
"431",3.76,3.76,NA
"432",4.34,3.61,4.38
"433",4.95,4.65,4.69
"434",4.24,4.72,4.36
"435",3.49,3.28,3.26
"436",5.24,4.5,5.02
"437",4.46,4.12,4.67
"438",4.34,3.61,4.42
"439",3.43,3.32,3.46
"440",2.99,NA,3.05
"441",4.74,4.98,4.64
"442",6.09,6.01,6.11
"443",NA,3.85,NA
"444",3.95,3.14,4.03
"445",3.7,3.66,NA
"446",3.88,3.58,3.73
"447",2.9,2.08,2.93
"448",4.1,3.99,4.23
"449",NA,4.11,NA
"450",3.54,3.98,NA
"451",NA,3.48,NA
"452",NA,3.43,3.3
"453",3.52,NA,NA
"454",4.05,NA,NA
"455",3.74,3.01,4.22
"456",4.05,3,4.28
"457",3.55,NA,3.58
"458",3.84,NA,4.09
"459",3.72,3.26,3.96
"460",NA,3.18,NA
"461",3.35,NA,3.43
"462",1.95,NA,2.08
"463",3.45,3.14,3.09
"464",3.17,2.54,3.01
"465",3.24,NA,3.12
"466",4.45,4.36,4.32
"467",NA,4.52,NA
"468",5.98,5.45,5.35
"469",5.2,4.73,4.88
"470",NA,4.7,4.41
"471",NA,4.37,NA
"472",4.71,NA,4.19
"473",6.05,5.82,5.59
"474",5.23,5.07,5.27
"475",4.86,3.79,3.89
"476",3.83,NA,3.83
"477",4.9,5.16,5.12
"478",3.22,3.09,2.77
"479",3.57,NA,4.19
"480",4.48,4.14,3.87
"481",3.83,3.14,3.78
"482",NA,3.76,NA
"483",3.78,3.6,NA
"484",3.26,4.06,3.7
"485",4.26,NA,3.6
"486",4.22,4.34,4.05
"487",3.37,NA,4.47
"488",4.9,4.91,4.9
"489",NA,3.63,NA
"490",4.26,NA,NA
"491",NA,3.97,NA
"492",5.64,6.42,6.25
"493",4.31,4.64,4.3
"495",3.74,3.22,3.58
"496",3.69,4.36,3.64
"497",3.95,4.13,4.16
