"ASV_id","High Control","Low Control","Mid Control"
514,NA,4.14,NA
515,2.93,NA,NA
516,4.39,NA,NA
518,1.39,NA,3.53
519,2.26,3,2.64
520,2.2,0.69,2.4
521,2.7,3.86,3.82
522,NA,3.64,NA
523,4.24,NA,NA
524,3.96,NA,2.48
525,4.23,3.3,2.71
526,2.69,4.75,3.07
527,1.58,4.58,4.09
528,2.83,4.46,3.31
529,NA,3.32,NA
530,2.96,2.55,2.95
531,3.82,NA,4.54
532,4.14,NA,NA
533,4.23,3.98,4.5
534,5.72,6.05,5.67
535,NA,4.24,NA
536,6.25,6.47,6.16
537,NA,NA,4.91
538,1.61,1.95,3.47
539,6.09,6.05,5.69
540,NA,4.65,NA
541,4.84,5.3,4.74
542,1.7,NA,2.71
543,NA,3.65,1.39
544,NA,3.78,NA
545,NA,NA,2.08
546,NA,3.58,NA
547,4.08,NA,2.7
548,2.83,2.87,1.39
549,1.99,2.19,2.25
550,2.22,2.23,NA
552,NA,4.47,NA
553,4.43,4.99,4.82
554,4.09,5.37,3.93
555,NA,4.65,NA
556,2.48,4.82,5.79
557,5.61,3.48,2.71
558,3.37,3.72,3.53
559,NA,4.22,2.14
560,3.89,3.05,2.21
561,4,3.04,NA
562,3.2,2.59,3.18
563,3.02,3.15,NA
564,3.69,NA,2.48
565,1.61,3.48,3.33
566,4.43,1.79,NA
567,NA,4.4,3.58
568,2.78,4.57,3.41
569,3.27,NA,NA
570,5.67,5.77,3.27
571,7.5,4.43,4.84
572,5.45,NA,4.98
573,4.69,NA,NA
574,5.22,NA,NA
575,3.44,NA,NA
576,4.38,4.37,NA
577,2.64,0.69,NA
578,NA,NA,3.3
579,6.24,4.4,4.24
580,8.31,NA,NA
581,4.45,NA,1.61
582,4.51,NA,NA
583,3.24,2.89,3.47
584,5.12,NA,NA
585,4.59,2.14,NA
586,3.13,3.09,3.33
587,4.79,3.87,NA
588,3.5,3.43,2.57
590,NA,3.27,NA
591,NA,3.83,NA
592,NA,2.31,NA
593,3.97,NA,NA
594,1.5,3.07,NA
595,NA,5.34,NA
596,NA,2.21,NA
597,2.47,1.39,2.48
598,NA,4.02,NA
599,NA,4.62,NA
600,NA,NA,1.84
601,NA,4.52,NA
602,NA,2.76,NA
603,1.15,4.14,3.03
604,2.88,2.05,2.33
605,3.1,2.07,2.85
606,2.8,2.64,3.22
607,NA,4.44,3.17
608,NA,4.03,1.39
609,4.11,3.61,2.83
610,NA,3.53,NA
611,NA,3.76,NA
612,4.29,NA,NA
613,4.9,NA,NA
614,4.33,3.81,NA
615,NA,3.67,NA
616,NA,3.85,NA
617,5.95,3.4,5.66
618,4.42,4.74,2.64
619,3.18,NA,NA
620,4.04,3.91,5.61
621,3.77,4.06,2.71
623,2.84,NA,3.19
624,5.09,4.65,NA
625,2.71,NA,3.32
626,1.63,3.12,2.48
627,NA,3.94,NA
628,NA,3.79,2.6
629,NA,3.74,3.15
630,NA,3,3.27
631,9.48,2.31,NA
632,NA,3.38,NA
633,4.51,NA,NA
634,2.83,NA,4.92
635,NA,3.76,4.4
636,3.21,NA,1.39
637,3.97,NA,NA
638,2.56,3.79,NA
639,NA,4.21,1.61
640,3.25,NA,1.39
641,3.97,NA,2.75
642,2.99,3,3.91
644,NA,6.49,NA
645,3.92,4.46,2.71
646,NA,3.86,1.1
647,NA,2.98,1.95
648,NA,3.5,NA
649,2.3,1.7,1.55
650,3.36,3.55,3.38
651,4.94,5.78,4.38
652,2.89,3.1,3.65
653,NA,2.59,1.45
654,2.83,3.66,2.45
655,1.59,5.69,4.14
656,2.73,3.77,2.58
657,2.33,4.71,2.85
658,3.33,2.2,3.87
659,4.02,2.08,3.85
660,3.99,3.64,5.43
661,3.74,4.01,2.89
662,5.13,5.72,NA
663,NA,NA,4.52
664,4.26,3.71,4.06
665,5.85,5.72,4.55
666,4.7,3.91,4.04
667,NA,3.81,NA
668,NA,NA,2.71
669,3.69,3.09,3.4
670,NA,6.28,4.3
671,5.72,6.64,6.13
672,3.69,3.72,NA
674,NA,1.9,NA
675,1.95,3.58,2.69
676,2.08,4.87,2.12
677,2.56,3.82,3.45
678,4.77,5.11,4.93
679,3.22,NA,3.82
681,NA,5.91,4.03
682,1.79,3.1,3.17
683,NA,4.94,NA
684,2.77,3.58,2.83
685,2.17,NA,1.61
686,NA,3.78,NA
687,4.01,4.75,NA
688,3.5,4.88,2.83
689,3.18,4.86,3.52
690,NA,3.07,3.89
691,5.74,NA,NA
692,5.67,NA,NA
693,NA,2.72,NA
