"turfID","year","destinationSite","treatmentOriginGroup","species","scaled"
"um3-5_nu_um3-5",2023,"Upper Montane","Low Control","Agoseris aurantiaca",0.48
"um3-5_nu_um3-5",2023,"Upper Montane","Low Control","Agoseris glauca",0.16
"um3-5_nu_um3-5",2023,"Upper Montane","Low Control","Artemisia tridentata",0.04
"um3-5_nu_um3-5",2023,"Upper Montane","Low Control","Bromus carinatus",0.12
"um3-5_nu_um3-5",2023,"Upper Montane","Low Control","Carex sp.",0.08
"um3-5_nu_um3-5",2023,"Upper Montane","Low Control","Delphinium nuttallianum",0.24
"um3-5_nu_um3-5",2023,"Upper Montane","Low Control","Mertensia fusiformis",0.08
"um3-5_nu_um3-5",2023,"Upper Montane","Low Control","Poa pratensis",0.08
"um3-5_nu_um3-5",2023,"Upper Montane","Low Control","Potentilla pulcherrima",0.44
"um3-5_nu_um3-5",2023,"Upper Montane","Low Control","Stipa nelsonii",1
"um3-5_nu_um3-5",2023,"Upper Montane","Low Control","Vicia americana",0.16
"um3-5_nu_um3-5",2023,"Upper Montane","Low Control","Viola nuttallii",0.28
"um4-1_w1_pf4-2",2023,"Upper Montane","Mid W1","Achillea millefolium",0.1
"um4-1_w1_pf4-2",2023,"Upper Montane","Mid W1","Agoseris aurantiaca",0.3
"um4-1_w1_pf4-2",2023,"Upper Montane","Mid W1","Agoseris glauca",0.1
"um4-1_w1_pf4-2",2023,"Upper Montane","Mid W1","Thalictrum fendleri",1
"um4-1_w1_pf4-2",2023,"Upper Montane","Mid W1","Elymus repens",0.15
"um4-1_w1_pf4-2",2023,"Upper Montane","Mid W1","Erigeron elatior",0.25
"um4-1_w1_pf4-2",2023,"Upper Montane","Mid W1","Erythronium grandiflorum",0.25
"um4-1_w1_pf4-2",2023,"Upper Montane","Mid W1","Helianthella quinquenervis",0.25
"um4-1_w1_pf4-2",2023,"Upper Montane","Mid W1","Heliomeris multiflora",0.3
"um4-1_w1_pf4-2",2023,"Upper Montane","Mid W1","Hymenoxys hoopesii",0.3
"um4-1_w1_pf4-2",2023,"Upper Montane","Mid W1","Lathyrus lanszwertii",0.15
"um4-1_w1_pf4-2",2023,"Upper Montane","Mid W1","Poa reflexa",0.25
"um4-1_w1_pf4-2",2023,"Upper Montane","Mid W1","Potentilla pulcherrima",0.2
"um4-1_w1_pf4-2",2023,"Upper Montane","Mid W1","Senecio crassulus",0.15
"um4-1_w1_pf4-2",2023,"Upper Montane","Mid W1","Taraxacum officinale",0.1
"um4-1_w1_pf4-2",2023,"Upper Montane","Mid W1","Viola nuttallii",0.2
"um4-3_nu_um4-3",2023,"Upper Montane","Low Control","Achillea millefolium",0.106382978723404
"um4-3_nu_um4-3",2023,"Upper Montane","Low Control","Agoseris aurantiaca",0.0638297872340425
"um4-3_nu_um4-3",2023,"Upper Montane","Low Control","Agoseris glauca",0.0212765957446809
"um4-3_nu_um4-3",2023,"Upper Montane","Low Control","Bromus carinatus",0.0638297872340425
"um4-3_nu_um4-3",2023,"Upper Montane","Low Control","Carex sp.",0.0851063829787234
"um4-3_nu_um4-3",2023,"Upper Montane","Low Control","Delphinium nuttallianum",0.0212765957446809
"um4-3_nu_um4-3",2023,"Upper Montane","Low Control","Draba spectabilis",0.0638297872340425
"um4-3_nu_um4-3",2023,"Upper Montane","Low Control","Hymenoxys hoopesii",0.0851063829787234
"um4-3_nu_um4-3",2023,"Upper Montane","Low Control","Mertensia fusiformis",0.0425531914893617
"um4-3_nu_um4-3",2023,"Upper Montane","Low Control","Poa pratensis",0.0851063829787234
"um4-3_nu_um4-3",2023,"Upper Montane","Low Control","Potentilla pulcherrima",0.127659574468085
"um4-3_nu_um4-3",2023,"Upper Montane","Low Control","Valeriana occidentalis",1
"um4-3_nu_um4-3",2023,"Upper Montane","Low Control","Viola nuttallii",0.148936170212766
"um4-3_nu_um4-3",2023,"Upper Montane","Low Control","Lathyrus lanszwertii",0.0638297872340425
"um4-4_u_um4-4",2023,"Upper Montane","Low Control","Achillea millefolium",0.214285714285714
"um4-4_u_um4-4",2023,"Upper Montane","Low Control","Agoseris glauca",0.142857142857143
"um4-4_u_um4-4",2023,"Upper Montane","Low Control","Agoseris aurantiaca",0.142857142857143
"um4-4_u_um4-4",2023,"Upper Montane","Low Control","Bromus carinatus",0.142857142857143
"um4-4_u_um4-4",2023,"Upper Montane","Low Control","Carex sp.",0.142857142857143
"um4-4_u_um4-4",2023,"Upper Montane","Low Control","Delphinium nuttallianum",0.0714285714285714
"um4-4_u_um4-4",2023,"Upper Montane","Low Control","Hymenoxys hoopesii",0.857142857142857
"um4-4_u_um4-4",2023,"Upper Montane","Low Control","Poa pratensis",0.0714285714285714
"um4-4_u_um4-4",2023,"Upper Montane","Low Control","Potentilla pulcherrima",1
"um4-4_u_um4-4",2023,"Upper Montane","Low Control","Valeriana occidentalis",0.857142857142857
"um4-4_u_um4-4",2023,"Upper Montane","Low Control","Viola nuttallii",0.571428571428571
"um4-4_u_um4-4",2023,"Upper Montane","Low Control","Lathyrus lanszwertii",0.214285714285714
"um4-5_ws_um4-5",2023,"Upper Montane","Low Control","Achillea millefolium",1
"um4-5_ws_um4-5",2023,"Upper Montane","Low Control","Agoseris glauca",0.666666666666667
"um4-5_ws_um4-5",2023,"Upper Montane","Low Control","Elymus repens",0.222222222222222
"um4-5_ws_um4-5",2023,"Upper Montane","Low Control","Carex sp.",0.444444444444444
"um4-5_ws_um4-5",2023,"Upper Montane","Low Control","Delphinium nuttallianum",0.222222222222222
"um4-5_ws_um4-5",2023,"Upper Montane","Low Control","Hydrophyllum capitatum",0.555555555555556
"um4-5_ws_um4-5",2023,"Upper Montane","Low Control","Ligusticum porteri",0.333333333333333
"um4-5_ws_um4-5",2023,"Upper Montane","Low Control","Poa pratensis",0.777777777777778
"um4-5_ws_um4-5",2023,"Upper Montane","Low Control","Potentilla pulcherrima",0.666666666666667
"um4-5_ws_um4-5",2023,"Upper Montane","Low Control","Stipa nelsonii",0.111111111111111
"um4-5_ws_um4-5",2023,"Upper Montane","Low Control","Viola nuttallii",0.555555555555556
"um4-5_ws_um4-5",2023,"Upper Montane","Low Control","Vicia americana",0.111111111111111
"um5-1_ws_um5-1",2023,"Upper Montane","Low Control","Achillea millefolium",0.727272727272727
"um5-1_ws_um5-1",2023,"Upper Montane","Low Control","Agoseris aurantiaca",0.0909090909090909
"um5-1_ws_um5-1",2023,"Upper Montane","Low Control","Artemisia tridentata",0.636363636363636
"um5-1_ws_um5-1",2023,"Upper Montane","Low Control","Castilleja sulphurea",0.0454545454545455
"um5-1_ws_um5-1",2023,"Upper Montane","Low Control","Delphinium nuttallianum",0.0909090909090909
"um5-1_ws_um5-1",2023,"Upper Montane","Low Control","Elymus repens",0.318181818181818
"um5-1_ws_um5-1",2023,"Upper Montane","Low Control","Lathyrus lanszwertii",0.0909090909090909
"um5-1_ws_um5-1",2023,"Upper Montane","Low Control","Melica spectabilis",0.136363636363636
"um5-1_ws_um5-1",2023,"Upper Montane","Low Control","Mertensia fusiformis",0.272727272727273
"um5-1_ws_um5-1",2023,"Upper Montane","Low Control","Poa pratensis",0.136363636363636
"um5-1_ws_um5-1",2023,"Upper Montane","Low Control","Potentilla pulcherrima",0.318181818181818
"um5-1_ws_um5-1",2023,"Upper Montane","Low Control","Stipa nelsonii",0.272727272727273
"um5-1_ws_um5-1",2023,"Upper Montane","Low Control","Taraxacum officinale",0.5
"um5-1_ws_um5-1",2023,"Upper Montane","Low Control","Viola nuttallii",1
"um5-2_nu_um5-2",2023,"Upper Montane","Low Control","Achillea millefolium",0.285714285714286
"um5-2_nu_um5-2",2023,"Upper Montane","Low Control","Agoseris aurantiaca",0.0952380952380952
"um5-2_nu_um5-2",2023,"Upper Montane","Low Control","Bromus carinatus",0.0952380952380952
"um5-2_nu_um5-2",2023,"Upper Montane","Low Control","Carex sp.",0.428571428571429
"um5-2_nu_um5-2",2023,"Upper Montane","Low Control","Castilleja sulphurea",0.142857142857143
"um5-2_nu_um5-2",2023,"Upper Montane","Low Control","Collomia linearis",1
"um5-2_nu_um5-2",2023,"Upper Montane","Low Control","Delphinium nuttallianum",0.0476190476190476
"um5-2_nu_um5-2",2023,"Upper Montane","Low Control","Lathyrus lanszwertii",0.761904761904762
"um5-2_nu_um5-2",2023,"Upper Montane","Low Control","Melica spectabilis",0.0476190476190476
"um5-2_nu_um5-2",2023,"Upper Montane","Low Control","Poa pratensis",0.380952380952381
"um5-2_nu_um5-2",2023,"Upper Montane","Low Control","Potentilla pulcherrima",0.238095238095238
"um5-2_nu_um5-2",2023,"Upper Montane","Low Control","Taraxacum officinale",0.380952380952381
"um5-2_nu_um5-2",2023,"Upper Montane","Low Control","Viola nuttallii",0.19047619047619
"um5-2_nu_um5-2",2023,"Upper Montane","Low Control","Valeriana occidentalis",0.0952380952380952
"um5-3_u_um5-3",2023,"Upper Montane","Low Control","Achillea millefolium",0.155555555555556
"um5-3_u_um5-3",2023,"Upper Montane","Low Control","Carex sp.",0.222222222222222
"um5-3_u_um5-3",2023,"Upper Montane","Low Control","Delphinium nuttallianum",0.0222222222222222
"um5-3_u_um5-3",2023,"Upper Montane","Low Control","Hymenoxys hoopesii",0.4
"um5-3_u_um5-3",2023,"Upper Montane","Low Control","Poa pratensis",0.155555555555556
"um5-3_u_um5-3",2023,"Upper Montane","Low Control","Potentilla pulcherrima",0.133333333333333
"um5-3_u_um5-3",2023,"Upper Montane","Low Control","Stipa nelsonii",0.133333333333333
"um5-3_u_um5-3",2023,"Upper Montane","Low Control","Taraxacum officinale",0.0222222222222222
"um5-3_u_um5-3",2023,"Upper Montane","Low Control","Valeriana occidentalis",1
"um5-3_u_um5-3",2023,"Upper Montane","Low Control","Viola nuttallii",0.111111111111111
"um5-3_u_um5-3",2023,"Upper Montane","Low Control","Vicia americana",0.0888888888888889
"um5-4_w1_pf5-3",2023,"Upper Montane","Mid W1","Achillea millefolium",0.333333333333333
"um5-4_w1_pf5-3",2023,"Upper Montane","Mid W1","Agoseris glauca",0.111111111111111
"um5-4_w1_pf5-3",2023,"Upper Montane","Mid W1","Bromus carinatus",1
"um5-4_w1_pf5-3",2023,"Upper Montane","Mid W1","Carex sp.",0.222222222222222
"um5-4_w1_pf5-3",2023,"Upper Montane","Mid W1","Delphinium nuttallianum",0.111111111111111
"um5-4_w1_pf5-3",2023,"Upper Montane","Mid W1","Erythronium grandiflorum",0.333333333333333
"um5-4_w1_pf5-3",2023,"Upper Montane","Mid W1","Fragaria virginiana",0.444444444444444
"um5-4_w1_pf5-3",2023,"Upper Montane","Mid W1","Helianthella quinquenervis",0.444444444444444
"um5-4_w1_pf5-3",2023,"Upper Montane","Mid W1","Heliomeris multiflora",0.666666666666667
"um5-4_w1_pf5-3",2023,"Upper Montane","Mid W1","Lathyrus lanszwertii",0.222222222222222
"um5-4_w1_pf5-3",2023,"Upper Montane","Mid W1","Potentilla pulcherrima",0.444444444444444
"um5-4_w1_pf5-3",2023,"Upper Montane","Mid W1","Viola nuttallii",0.888888888888889
"um5-5_w2_mo5-2",2023,"Upper Montane","High W2","Achillea millefolium",0.272727272727273
"um5-5_w2_mo5-2",2023,"Upper Montane","High W2","Agoseris glauca",0.272727272727273
"um5-5_w2_mo5-2",2023,"Upper Montane","High W2","Aquilegia caerulea",0.636363636363636
"um5-5_w2_mo5-2",2023,"Upper Montane","High W2","Bromus carinatus",0.545454545454545
"um5-5_w2_mo5-2",2023,"Upper Montane","High W2","Castilleja sulphurea",0.545454545454545
"um5-5_w2_mo5-2",2023,"Upper Montane","High W2","Erigeron sp.",0.272727272727273
"um5-5_w2_mo5-2",2023,"Upper Montane","High W2","Erythronium grandiflorum",0.181818181818182
"um5-5_w2_mo5-2",2023,"Upper Montane","High W2","Helianthella quinquenervis",0.545454545454545
"um5-5_w2_mo5-2",2023,"Upper Montane","High W2","Hymenoxys hoopesii",1
"um5-5_w2_mo5-2",2023,"Upper Montane","High W2","Hydrophyllum capitatum",0.272727272727273
"um5-5_w2_mo5-2",2023,"Upper Montane","High W2","Lathyrus lanszwertii",0.181818181818182
"um5-5_w2_mo5-2",2023,"Upper Montane","High W2","Ligusticum porteri",0.454545454545455
"um5-5_w2_mo5-2",2023,"Upper Montane","High W2","Poa reflexa",0.454545454545455
"um5-5_w2_mo5-2",2023,"Upper Montane","High W2","Potentilla pulcherrima",0.454545454545455
"um5-5_w2_mo5-2",2023,"Upper Montane","High W2","Ranunculus inamoenus",0.272727272727273
"um5-5_w2_mo5-2",2023,"Upper Montane","High W2","Senecio crassulus",0.181818181818182
"um5-5_w2_mo5-2",2023,"Upper Montane","High W2","Viola nuttallii",0.363636363636364
"mo4-2_nu_mo4-2",2023,"Monument","High Control","Poa reflexa",0.923076923076923
"um4-2_w2_mo4-3",2023,"Upper Montane","High W2","Rhodiola integrifolia",0.470588235294118
"um4-2_w2_mo4-3",2023,"Upper Montane","High W2","Hymenoxys hoopesii",0.117647058823529
"um4-2_w2_mo4-3",2023,"Upper Montane","High W2","Helianthella quinquenervis",1
"um4-2_w2_mo4-3",2023,"Upper Montane","High W2","Hydrophyllum capitatum",0.235294117647059
"um4-2_w2_mo4-3",2023,"Upper Montane","High W2","Agoseris glauca",0.235294117647059
