community,ASV_id,LogAbundance_HighControl,LogAbundance_MidControl,LogAbundance_LowControl,weight_warmed_gradient,weight_warmed_experiment,weight_cooled_gradient,weight_cooled_experiment,Genus,Family,Phylum,Class,Order
bacteria and archaea,608,3.32,3.45,2.94,-0.28,-0.13,0.34,-0.17,NA,NA,Proteobacteria,Alphaproteobacteria,Elsterales
bacteria and archaea,21,3.29,3.96,NA,-0.35,-0.32,0.34,-0.14,NA,NA,Actinobacteria,MB-A2-108,NA
bacteria and archaea,576,3.11,3.29,2.86,-0.26,-0.06,0.34,-0.27,NA,Nitrososphaeraceae,Crenarchaeota,Nitrososphaeria,Nitrososphaerales
bacteria and archaea,56,4.65,4.52,4.13,-0.35,-0.26,0.34,-0.44,NA,NA,Methylomirabilota,Methylomirabilia,Rokubacteriales
bacteria and archaea,1031,3.68,NA,NA,-0.43,-0.4,0.34,-0.38,NA,NA,Latescibacterota,NA,NA
bacteria and archaea,1480,3.6,4.04,3.81,-0.23,-0.06,0.34,-0.11,NA,Sporichthyaceae,Actinobacteria,Actinobacteria,Frankiales
bacteria and archaea,927,3.81,NA,NA,-0.14,-0.08,0.34,-0.14,Terrimonas,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,1001,3.84,3.83,NA,-0.5,-0.44,0.34,-0.29,NA,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,647,4.22,4.46,4.12,-0.14,0.01,0.34,-0.34,Afipia,Xanthobacteraceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,1000,3.12,3.5,NA,-0.24,-0.01,0.34,-0.12,Gemmatimonas,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,115,3.42,3.49,NA,-0.18,-0.05,0.34,-0.24,Zavarzinella,Gemmataceae,Planctomycetota,Planctomycetes,Gemmatales
bacteria and archaea,1310,4.33,5.26,NA,-0.3,-0.21,0.34,-0.09,NA,NA,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,1242,5.51,4.92,4.74,-0.37,-0.2,0.34,-0.42,NA,NA,Chloroflexi,AD3,NA
bacteria and archaea,1013,4.46,4.08,4.34,-0.19,-0.07,0.34,-0.14,Gemmatimonas,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,1536,4.3,3.43,NA,-0.26,-0.18,0.34,-0.2,NA,SC-I-84,Proteobacteria,Gammaproteobacteria,Burkholderiales
bacteria and archaea,1585,4.13,4.16,NA,-0.26,-0.27,0.34,-0.14,Mycobacterium,Mycobacteriaceae,Actinobacteria,Actinobacteria,Corynebacteriales
bacteria and archaea,505,5.59,4.98,4.85,-0.49,-0.41,0.34,-0.29,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,409,3.93,NA,NA,-0.41,-0.38,0.34,-0.2,NA,Pedosphaeraceae,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales
bacteria and archaea,1074,4.08,4.04,3.34,-0.37,-0.36,0.33,0.03,NA,NA,Acidobacteria,Subgroup 5,NA
bacteria and archaea,990,3.58,3.27,NA,-0.51,-0.44,0.33,-0.41,NA,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,20,3.73,3.66,3.69,-0.31,-0.22,0.33,-0.21,Acidothermus,Acidothermaceae,Actinobacteria,Actinobacteria,Frankiales
bacteria and archaea,563,3.63,NA,NA,-0.4,-0.4,0.33,0.06,Haliangium,Haliangiaceae,Myxococcota,Polyangia,Haliangiales
bacteria and archaea,7,3.53,3.21,2.94,-0.19,-0.02,0.33,-0.14,NA,Anaerolineaceae,Chloroflexi,Anaerolineae,Anaerolineales
bacteria and archaea,1650,3.76,3.33,NA,-0.28,-0.17,0.33,NA,NA,NA,Acidobacteria,Blastocatellia,11-24
bacteria and archaea,930,3.37,2.54,NA,-0.45,-0.33,0.33,-0.15,NA,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,1600,4.13,3.9,3.09,-0.19,0,0.33,-0.13,Kibdelosporangium,Pseudonocardiaceae,Actinobacteria,Actinobacteria,Pseudonocardiales
bacteria and archaea,717,4.35,3.94,NA,-0.16,-0.09,0.33,-0.28,Aminobacter,Rhizobiaceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
