Community,Taxon ID,Taxon name,Phylum,Family,Control measure,High control,Mid control,Low control,Warmed gradient PRC weight,Warmed experiment PRC weight,Cooled gradient PRC weight,Cooled experiment PRC weight,Selected among top 15 for
Bacteria/Archaea,56,NA,Methylomirabilota,NA,Mean log-transformed abundance,4.65,4.52,4.13,-0.35,-0.26,0.34,-0.44,Cooled experiment
Bacteria/Archaea,658,Afipia,Proteobacteria,Xanthobacteraceae,Mean log-transformed abundance,4.75,4.85,4.15,-0.29,-0.07,0.24,-0.44,Cooled experiment
Bacteria/Archaea,1621,NA,Chloroflexi,NA,Mean log-transformed abundance,3.52,3.88,3.61,0.01,0.21,0.11,-0.43,Cooled experiment
Bacteria/Archaea,1653,NA,Chloroflexi,NA,Mean log-transformed abundance,3.97,3.78,3.33,-0.35,-0.21,0.28,-0.43,Cooled experiment
Bacteria/Archaea,562,Haliangium,Myxococcota,Haliangiaceae,Mean log-transformed abundance,3.27,3.26,NA,-0.1,0.02,0.12,-0.43,Cooled experiment
Bacteria/Archaea,981,NA,Gemmatimonadota,Gemmatimonadaceae,Mean log-transformed abundance,4.97,5.16,4.7,-0.23,0.03,0.26,-0.43,Cooled experiment
Fungi,529,Leucosporidium,Basidiomycota,Leucosporidiaceae,Mean log-transformed abundance,NA,NA,3.32,0.57,0.34,-0.76,-0.57,Warmed gradient; Cooled gradient; Cooled experiment
Fungi,681,Mortierella,Mortierellomycota,Mortierellaceae,Mean log-transformed abundance,NA,4.03,5.91,0.66,0.51,-0.73,-0.59,Warmed gradient; Cooled gradient; Cooled experiment
Fungi,312,Elasticomyces,Ascomycota,Teratosphaeriaceae,Mean log-transformed abundance,NA,2.48,4.66,0.7,0.54,-0.63,-0.33,Warmed gradient; Warmed experiment; Cooled gradient
Fungi,32,Coniochaeta,Ascomycota,Coniochaetaceae,Mean log-transformed abundance,NA,NA,3.79,0.59,0.53,-0.69,-0.5,Warmed gradient; Warmed experiment; Cooled gradient
Fungi,161,Coniochaeta,Ascomycota,Coniochaetaceae,Mean log-transformed abundance,2.14,2.66,3.71,0.51,0.68,-0.37,0.1,Warmed experiment
