turfID,originSite,destinationSite,destinationPlotID,originPlotID,treatment,treatmentOrigin,treatmentOriginGroup,year,date_yyyymmdd,functionalGroup,unknownMorpho,species,percentCover,occurrenceCount,comments,X1_1,X1_2,X1_3,X1_4,X1_5,X2_1,X2_2,X2_3,X2_4,X2_5,X3_1,X3_2,X3_3,X3_4,X3_5,X4_1,X4_2,X4_3,X4_4,X4_5,X5_1,X5_2,X5_3,X5_4,X5_5
um2-1_w1_pf2-5,Pfeiler,Upper Montane,um2-1,pf2-5,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,graminoid,Poa reflexa,Poa reflexa,4,5,,,,,,,S,,S,,,,,,,,S,,,,,S,S,,,
um2-1_w1_pf2-5,Pfeiler,Upper Montane,um2-1,pf2-5,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Potentilla pulcherrima,Potentilla pulcherrima,10,17,,S,F,S,F,S,F,F,S,FD,,S,,F,FD,SD,S,S,S,FD,,,,,,
um2-1_w1_pf2-5,Pfeiler,Upper Montane,um2-1,pf2-5,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Senecio crassulus,Senecio crassulus,2,5,,S,,,,S,FD,F,,,,,S,,,,,,,,,,,,,
um2-1_w1_pf2-5,Pfeiler,Upper Montane,um2-1,pf2-5,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Vicia americana,Vicia americana,1,2,,,,,,,,,,,,S,S,,,,,,,,,,,,,
um2-1_w1_pf2-5,Pfeiler,Upper Montane,um2-1,pf2-5,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Viola sp.,Viola nuttallii,4,9,,,,S,,,,,FD,S,FD,,,,S,,,S,,S,F,,SE,,,
um2-1_w1_pf2-5,Pfeiler,Upper Montane,um2-1,pf2-5,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,graminoid,Melica spectabilis,Melica spectabilis,1,8,,,S,,F,S,F,,,F,F,F,,,,S,,,,,,,,,,
um2-1_w1_pf2-5,Pfeiler,Upper Montane,um2-1,pf2-5,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Alternate long leaf forb,Polygonum douglasii,1,2,,,,,,S,,,,,,,S,,,,,,,,,,,,,
um2-1_w1_pf2-5,Pfeiler,Upper Montane,um2-1,pf2-5,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,graminoid,Poa pratensis,Poa pratensis,1,1,,,,,,,,S,,,,,,,,,,,,,,,,,,
um2-1_w1_pf2-5,Pfeiler,Upper Montane,um2-1,pf2-5,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Erythronium grandiflorum,Erythronium grandiflorum,2,5,,,,,,,,S,,S,S,,,,F,,,S,,,,,,,,
um2-1_w1_pf2-5,Pfeiler,Upper Montane,um2-1,pf2-5,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,White mustard ?,Noccaea fendleri,1,1,,,,,,,,,,,,,,,,,,,S,,,,,,,
